Category Name,Category Bid No,Doc ID
"HT63-200-00835,HT63-200-00838,HT63-200-00835,HT63-200-00836,HT63-200-00839,HT63-200-00840",—,9648940
"Optical Coupler,Reversing Load Relay,Optical Coupler,Solid State Relay Module,Base,VPN Router,Ether",—,9693564
Steel Roofing Trough (SRT) . Steel Roofing Trough (SRT) of size 1630 x 615 x 180mm (total width 975,—,9696883
"Delivery & Installation of Multifunction Printer (MFP) . (Monochrome A4, Print, Scan, Copy) with Th",—,9694792
DE-BUGGING DEVICE (SMART PHONE DETECTOR),—,9610383
"Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8",—,9581009
"SAFETY CARTRIDGE,NARROW V-BELT,FILTER INSERT",—,9620022
"Capillary electrophoresis device, Specifications as per Annexure A",—,9649907
DIGITAL CHARGING BOARD FOR 3 CIRCUIT,—,9700135
Screw extruder unit with tube die assembly,—,9700575
GREASE,—,9431612
ACMECOAT 110 RF_ 5000001308,—,9698534
AIR CONDITIONING 22TR,—,9701205
LAUNDERCOTE_ 1000075438,—,9664579
High End Desktop Computer,—,9508449
Hexamine (ONGC),—,9657788
Bathing Soap Bar (V3) Conforming to IS 13498,—,9649313
3 Core× 50 sq. mm+ 1 Core× 16 sq. mm Aerial Bunched Cable,—,9727727
"OIL PUMP,SET OF HOSES,ROCKER LEVER,V BELT A 58,Model D2V6,STARTER GEAR,DYNAMO ALT,SCHWITZER TC,SET",—,9728022
Servers (V2),—,9718344
High End Multipara Monitor (V3),—,9694764
Commando Endurance Training Module with modular storage unit,—,9715037
"Toner Cartridges / Ink Cartridges / Consumables for Printers,Toner Cartridges / Ink Cartridges / Co",—,9700929
"SUB-SECTION A1,SUB-SECTION A2,SUB-SECTION B1,SUB-SECTION B2,SECTION C",—,9724733
Printing Maplitho Paper (V3) Conforming to IS 1848 (Part 1),—,9744160
Sanitary Napkins Vending Machines,—,9741749
HP W1520A CARTRIDGE FOR HPLT 4004dn.,—,9744731
DRIP IRRIGATION KIT,—,9744997
Ultra Sonic Activator,—,9744996
DIGIMATIC HEIGHT GAUGE,—,9744883
REPAIR OF MILLING MACHINE VERTICAL,—,9744826
"A4 and Legal Size Multifunction Printer (MFP),Computer Printer (V2),Scanner (V3),A3 Size Multifunct",—,9746266
"EXHAUST FAN 30 KVA,COUPLING BOLT,DIGITAL DISPLAY BOARD,WHEEL NUT BOLT,EXHAUST FAN 15 KVA",—,9748264
Repair of Quadcopter,—,9736503
OBTURATION SYSTEM,—,9745167
Laptop,—,9714758
Portable Metabolic Measurement System,—,9744346
"ARENS CONTROL COMPLETE,ASSY SPRING BRAKE ACTUATOR TYPE,INJECTOR,O RING,LOCK WASHER",—,9748342
X-ray Diffraction equipment as per detailed specification,—,9617095
Non Sparking Double Open Ended Spanner (V2),—,9739306
"Computer,Computer Table,Amplifier,Speaker,Microphone,Computer Chair,Badminton Racket,Badminton Shut",—,9676649
"Advanced multipurpose venous training,CPR mannequin,Haemorrhage control trainer,Advanced airway tra",—,9665719
All in One PC (V2),—,9542904
"60310009917506 GEARBOX ASSLY, F/CR# 2153LT, PD/R-271069",—,9698824
"Register (V2),Register (V2),Register (V2),Correspondence Envelopes (V3) Conforming to IS 13892,Corr",—,9673139
Mixed Fruit Jam,—,9693044
"SUCTION HOOD RUBBER SEALING,WIPER MOTOR 24V,WIPER MOTOR,SET KEY IGNITION SWITCH",—,9742896
Bicycle with Safety and Performance Requirements Conforming to IS 10613,—,9608096
Repair Of Emergency Alarm,—,9741750
Fiber Optic Patch Cord (V2),—,9741256
"Nitrile Coated/Nitrile Hand Gloves (V2),Nitrile Coated/Nitrile Hand Gloves (V2)",—,9745535
LED Based Information Display System,—,9745496
"Plastic Pipe Roll,Bib Cock,Pipe Joint,Elbow 1 inch Plastic,RC 9660 High Back Executive Chair,Bombay",—,9746173
"Phenyl,Liquid handwash,Plastic broom,Broom hard,Dusting cloth,Sponge Cloth,Room Freshner,Bathroom f",—,9746066
AUTOMATED ELECTRO VAPOR PROCESSING UNIT,—,9748845
INDUSTRIAL FRONT LOADING WASHING UNIT 45 KG,—,9748860
meat,—,9748856
"BTY CHARGER 12V,DMR BTY CHARGER,PNVG BTY 1.2V 1000MAH,DMR BTY,AC-DC ADAPTER 15V,BTY 3.7V,PNVG BTY C",—,9748853
"LV6-MT14 2610-000019 TYRE 7.50X20/34X7 CC PLY 10 LP,LV6-MT14 2610-001524 TYRE PNEU VEHICULAR 10.00X",—,9736457
"10309034,10309275,10309338,10310434,10310437,10310439,10307926,10307928,10307929,10308192,10537115,",—,9721204
Laboratory Incubators,—,9721461
"INJECTOR ASSY,FRT WHEEL BEARING,TAPPER ROLLER BRG REAR,BRAKE BOOSTER REP KIT,WIPER BLADE 24 INCH",—,9748946
"MCB 32 AMP,MCB 16AMP,JN BOX 10,5AMP BOARD,16 AMP BOARD,WALL FAN,CEILING LIGHT 12W,32 AMP D2 POLE,2I",—,9748945
"PAINT SAFFRON ENAMEL AND POLYURETHANE,PAINT BLACK ENAMEL AND POLYURETHANE,PAINT RED ENAMEL AND POLY",—,9748925
"Drive Shaft,Governor Shaft,Vane Pump,Roller Pin,Roller,Cam Plate,Time Device Piston,Injector Nozzle",—,9748968
"fuel filter flexible hose,Battery 1.5,pwm controller ic,anabond 666t 100g automobile rtv silico,m s",—,9748957
Galva Coating Spray,—,9748953
