Name,URL,Created At
Corrugated Boxes,/packaging-materials-packaging-boxes-and-bags-and-pouches-corrugated-boxes/search,25.08.2026
Light Weight Structural Fire Fighting Suits (DRDO),/law-enforcement-and-national-security-and-security-and-safety-equipment-and-supplies-personal-safety-and-protection-safety-apparel-light-weight-structural-fire-fighting-suits-drdo-/search,25.08.2026
Zinc Chloride - IS 701,/drugs-and-pharmaceutical-productsold-antiseptics-antiseptic-borates-and-chlorinebased-compounds-and-heavy-metals-and-herbal-preparations-zinc-chloride/search,25.08.2026
Hydrazine Hydrate Conforming to IS 12086 (In Kg),/compounds-and-mixtures-organic-derivatives-and-substituted-compounds-hydrazine-hydrate-conforming-to-is-12086-in-kg-/search,25.08.2026
Sterile Keratome (Ophthalmic) Micro Surgical Knife,/surgical-products-ophthalmic-specialty-instruments-and-related-products-sterile-keratome-ophthalmic-micro-surgical-knife/search,24.08.2026
Acetone as per IS 170,/pharmaceutical-products-incl-contraceptives-and-vaccines-antiseptics-combination-soaps-shampoos-soap-free-cleansers-acetone-as-per-is-170/search,24.08.2026
Polyethylene (HDPE/LDPE) Boats,/vehicles-and-their-accessories-and-components-marine-transport-safety-and-rescue-water-craft-polyethylene-hdpe-ldpe-boats/search,24.08.2026
Rough Terrain Hydraulic Mobile Crane (V2),/lifting-equipment-and-accessories-rough-terrain-hydraulic-mobile-crane-v2-/search,24.08.2026
Mobile Truck Crane (V2),/lifting-equipment-and-accessories-mobile-truck-crane-v2-/search,24.08.2026
E - Tourist Vehicle / Golf Cart (V3),/vehicles-and-their-accessories-and-components-motor-vehicles-specialized-and-recreational-vehicles-e-tourist-vehicle-golf-cart-v3-/search,24.08.2026
Methyl ethyl ketone,/compounds-and-mixtures-organic-derivatives-and-substituted-compounds-methyl-ethyl-ketone/search,24.08.2026
Potassium sodium tartrate,/drugs-and-pharmaceutical-productsold-drugs-affecting-the-gastrointestinal-system-laxatives-potassium-sodium-tartrate/search,24.08.2026
Cardium Compound,/lubricating-preparations-cardium-compound/search,24.08.2026
Hydrazine Hydrate Conforming to IS 12086 (In Litre),/compounds-and-mixtures-organic-derivatives-and-substituted-compounds-hydrazine-hydrate/search,24.08.2026
Prison Van Police Vehicles (V3),/vehicles-and-their-accessories-and-components-motor-vehicles-passenger-motor-vehicles-prison-van-police-vehicles-v3-/search,24.08.2026
Sildenafil Injection,/pharmaceutical-products-incl-contraceptives-and-vaccines-vasodilators-vasodilator-piperazines-sildenafil-injection/search,24.08.2026
Haloperidol Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-butyrophenones-haloperidol-tablet/search,24.08.2026
Haloperidol Injection,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-butyrophenones-haloperidol-injection/search,24.08.2026
Clozapine Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-dibenzazepines-clozapine-tablet/search,24.08.2026
Risperidone Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-pyrimidines-risperidone-tablets/search,24.08.2026
Olanzapine Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-amines-and-anthracenes-and-barbiturates-and-benzazepines-and-dipeptides-olanzapine-tablets/search,24.08.2026
Phenytoin Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-central-nervous-system-drugs-anticonvulsants-phenytoin-tablet/search,24.08.2026
Fluphenazine Injection,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-phenothiazines-fluphenazine-injection/search,24.08.2026
Lithium Carbonate Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-anions-lithium-carbonate-tablets/search,24.08.2026
Zolpidem Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-hypnotics-hypnotic-pyridazines-and-pyridines-and-pyridones-and-secologanin-tryptamine-alkaloids-zolpidem-tablets/search,24.08.2026
Sodium Valproate Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-central-nervous-system-drugs-anticonvulsants-sodium-valproate-tablets/search,24.08.2026
Escitalopram Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-antidepressants-antidepressant-amines-escitalopram-tablets/search,24.08.2026
Carbamazepine Tablets (V2),/pharmaceutical-products-incl-contraceptives-and-vaccines-central-nervous-system-drugs-anticonvulsants-carbamazepine-tablets-v2-/search,24.08.2026
Clobazam Tablets (V2),/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-benzodiazepines-clobazam-tablets-v2-/search,24.08.2026
Chlorpromazine Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-antipsychotics-antipsychotic-phenothiazines-chlorpromazine-tablets/search,24.08.2026
Lorazepam Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-benzodiazepines-lorazepam-tablet/search,24.08.2026
Lorazepam Injection,/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-benzodiazepines-lorazepam-injection/search,24.08.2026
Diazepam Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-benzodiazepines-diazepam-tablet/search,24.08.2026
Diazepam Injection,/pharmaceutical-products-incl-contraceptives-and-vaccines-tranquilizers-and-antimanic-and-antianxiety-drugs-tranquilizers-and-antimanic-and-antianxiety-benzodiazepines-diazepam-injection/search,24.08.2026
Clomipramine Capsules,/pharmaceutical-products-incl-contraceptives-and-vaccines-antidepressants-antidepressant-dibenzazepines-clomipramine-capsules/search,24.08.2026
Fluoxetine Capsule,/pharmaceutical-products-incl-contraceptives-and-vaccines-antidepressants-antidepressant-amines-fluoxetine-capsule/search,24.08.2026
Phenobarbitone Tablet,/pharmaceutical-products-incl-contraceptives-and-vaccines-hypnotics-hypnotic-barbiturates-phenobarbitone-tablet/search,24.08.2026
Ferrous Salt + Folic Acid Tablets,/pharmaceutical-products-incl-contraceptives-and-vaccines-agents-affecting-water-and-electrolytes-combination-nutritional-therapy-products-ferrous-salt-folic-acid-tablets/search,24.08.2026
Troop Carrier Police Vehicles (V3),/vehicles-and-their-accessories-and-components-motor-vehicles-safety-and-rescue-vehicles-troop-carrier-police-vehicles-v3-/search,24.08.2026
Diesel Bowser,/25101900-diesel-bowser/search,24.08.2026
