Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7699791,Hiring of 01 x 100 MBPS Circuit between Ramgarh and Allahabad,HIRING OF 01 x 100 MBPS CIRCUIT BETWEEN RAMGARH AND ALLAHABAD,Category not available on GeM for the text string uploaded by the buyer,VCCS: Voice communication and control systems (AAI) Optical Network Terminal Field Telephone Cable (Telecommunication Cable),Kheermohan from Gangapur City - ODOP,Weak — review,40%
GEM/2026/B/7699335,HIRING OF 01 X MBPS CIRCUIT BETWEEN DANAPUR AND MUZAFFARPUR,HIRING OF 01 x 100 MBPS CIRCUIT BETWEEN DANAPUR AND MUZAFFARPUR,Category not available on GeM for the text string uploaded by the buyer,VCCS: Voice communication and control systems (AAI) Optical Network Terminal Field Telephone Cable (Telecommunication Cable),Kheermohan from Gangapur City - ODOP,Weak — review,39%
GEM/2026/B/7897140,""" STAINLESS STEEL PICKLING BASKET, DRG. NO. M-4664""","""STAINLESS STEEL PICKLING BASKET, DRG. NO. M-4664""","Tricycle, Hand Propelled for Specially Abled Conforming to IS 8088 ., Safety Footwear (V3) ISI marked to IS 15298 (Part 2), Stainless Steel Bain Marie, Opthalmic Trial Frame (V2) - RBSK",Stainless Steel Bucket (Defence),Stainless Steel Milk Container,Weak — review,51%
GEM/2026/B/7852483,"TEM toTE10 mode launcher type-1 , TEM to TE10 mode launcher type-2 , TE11 to TE10 mode converter type-1 , TE11 to TE10 mode converter type-2 , Circular WG Straight Section",Circular WG Straight Section,Category not available on GeM for the text string uploaded by the buyer,Analog-Digital Circuits Development Platform,TETRA Radio Trunking as per MHA QR,Weak — review,38%
GEM/2026/B/7867588,CHEMICAL AMO CLEAN 321 OR PHOSCLEAN BR OR U-CLEAN FOR DEGREASING OPRATION,CHEMICAL AMO CLEAN 321 OR PHOSCLEAN BR OR U-CLEAN FOR DEGREASING OPRATION,Category not available on GeM for the text string uploaded by the buyer,MEMBRANE CLEANING CHEMICAL,MEMBRANE CLEANING CHEMICAL,Weak — review,51%
GEM/2026/B/7870771,"PLASTIC HOSES TEXTILE RE-INFORCED THERMO PLASTICS TYPE FOR COMPRESSED AIR SIZE 12.5 MM I D x 19 MM O , PLASTIC HOSES TEXTILE RE-INFORCED THERMO PLASTICS TYPE FOR COMPRESSED AIR SIZE 25 MM I D x 33 MM O D , PLASTIC HOSES TEXTILE RE-INFORCED THERMO PLASTICS TYPE FOR COMPRESSED AIR SIZE 6 MM I D X 10 MM O D , PLASTIC HOSES TEXTILE RE-INFORCED THERMO PLASTICS TYPE FOR COMPRESSED AIR SIZE 20 MM I D X 28 MM O D",PLASTIC HOSES TEXTILE RE-INFORCED THERMO PLASTICS TYPE FOR COMPRESSED AIR SIZE 20 MM I D X 28 MM O D SPECN:- IS12492 – 1988 TYPE-II,Category not available on GeM for the text string uploaded by the buyer,Fibre Reinforced Plastic Grating(FRP Grating),Air Hoses as per IS 446:1987,Weak — review,56%
GEM/2026/B/7922541,VIP LAPTOP BAG,VIP LATOP BAG,"Tie for VIP Security Personnel (CRPF), Compostable Bio- Medical Waste Collection Bags (Biohazard Bags) (V3), Cloth, Disruptive Pattern, Uniform for VIP Security, Suitcase (V2), Hiking Bag, File Folder (V3), Vomit Bag, Bag filter, Urine Collection Bag - Sterile (Single Use), Laundry Bag",Rugged Notebook - Laptop,Hiking Bag,Weak — review,58%
GEM/2026/B/7922612,"UPS Microtek 1 KVA , Monitor 21 Inch , RAM DDR-IV 4 GB , Internal DVD Writer Big , Maintenance Box for Epson L15160 and Epson L15180",Maintenance Box for Epson L15160 and Epson L15180,"Desk and Bench Set for Classroom Training Area, Toner Cartridges Ink Cartridges Consumables for Printers, Chair for General Purpose, HEAT SHRINKABLE PVC SLEEVE FOR HIGH VOLTAGE BUSBARS AND CONNECTIONS(BHEL), Coverall for Refinery Location - HPCL, Foot Steps For Hospital Clinic and Domestic Purposes, Desk and Chair Set for Classroom Training Area, LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5 Section 3) (V3) (Under BIS Scheme - II), Covered Electrodes for Manual Metal Arc Welding of Stainless Steel and Other Similar High Alloy Steel (V2) conforming to IS 5206",Photocopier Printer Trolley,Electronics & Hardware Kit,Weak — review,50%
GEM/2026/B/7922589,Mac OS based Laptop with M5 chip,"MAC OS BASED M5 CHIP LAPTOP, MODEL 2026",Category not available on GeM for the text string uploaded by the buyer,High End Laptop - Notebook,High End Laptop - Notebook,Weak — review,49%
GEM/2026/B/7922615,CROSS SHOULDER BAG,CROSS SHOULDER BAG,"SHOULDER LIGHT, Compostable Bio-Medical Waste Collection Bags (Biohazard Bags) (V3), Cross Trainers, Shoulder CPM (V2), V - Belts - Endless V - Belt for Industrial Purposes as per IS 2494, Cross over bench, Elliptical Cross Trainer, File Folder (V3), Shoulders Press Machine, Urine Collection Bag - Sterile (Single Use)",Office Bags (V2),Sling Bags-Handicraft,Weak — review,63%
