Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Department
GEM/2026/B/7804202,COPPER PLATE BROAD,COPPER PLATE BROAD 105.5X1200X1 89,"Earthing Plate, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Copper bearing structural Plate as per IS 2062 (Steel Plate)(UNIT - QUANTITY), Non-Locking Bone Plate, Copper alloy Taps Stop Valves (V2) Conforming to IS 8931, PVC Insulated Unsheathed Cable with Flexible Conductor ISI Marked To IS 694, PVC Insulated Copper Cord Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694, Locking Compression Plates (V2), Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778",Mounting plate,NMDC STEEL Limited

GEM/2026/B/7752080,BEARING 175 130MMX150 227,BEARING 175 130MMX150 22,"Dimilin 22 SC, Sheeting, Tickings and Bedsheets (V2) as per IS 175, Refrigeration Gas Chlorodifluoro Methane Type CFM 22 (R - 22) as per IS 5610:1983, water baths, BEARING ISOLATOR, Bearing (BHEL), Single Row Deep Groove Ball Bearing (Without Flange Outer Ring) as per IS 6455, Fan Bearing, Bush Bearing, Cloth Dryer Stand",Mounted Bearings,NMDC STEEL Limited

GEM/2026/B/7695124,PROCUREMENT OF PLASTIC SCINTILLATOR BASED PORTAL MONITORING SYSTEM FORSSS(V),PROCUREMENT OF PLASTIC SCINTILLATOR BASED PORTAL MONITORING SYSTEM FOR SSS(V),Reverse Osmosis based Point of Use Water Treatment System for Drinking Purposes (V3) as per IS 16240,Radiation survey meter,Department of Military Affairs

GEM/2026/B/7388985,AUTOMATIC PARTICLE COUNTERS FOR OIL CONTAMINATION TEST,AUTOMATIC PARTICLE COUNTERS FOR OIL CONTAMINATION TEST,"Biochemistry Reagent Kit for Human Samples, Transformer Oil BDV Test Kit, High Vacuum Rotary Vane Pump",Particle Size Analyser Hand Held Particle Counter Liquid Particle Counter,Department of Defence Production

GEM/2026/B/7921790,GREASE AEROSHELL-33,GREASE AEROSHELL-33,"Lubricating Grease, File Folder (V3), Grease XG-285- Defence(V2), Reciprocal Shakers - Mechanical Shaker Machine with Timer, Oil OM-33 - Defence (V2), Cotton Pillow, Grease Gun as per IS 7794, Cable Joint Kit Suitable for Cables Up to and Including 33 kV (V2), Grease XG-293 - Defence, Cable Termination Kit Suitable for Cables Up to and Including 33 kV (V2)",Lubricating Grease,Department of Military Affairs

GEM/2026/B/7871710,"CENTRIFUGAL PUMP 1.5 KW 2.0 HP Motor Power: 1.5 KW 2.0 HP Phase Options: Three Phase (415V) variants , CENTRIFUGAL PUMP, 5.5 KW 7.5 HP Motor Power: 5.5 KW 7.5 HP Phase Options: Three Phase (415V) variant","CENTRIFUGAL PUMP, 5.5 KW 7.5 HP Motor Power: 5.5 KW 7.5 HP Phase Options: Three Phase (415V) variants Pipe Size (Suction x Delivery): 80 mm × 65 mm Motor Speed: 2800 RPM to 3000 RPM",Category not available on GeM for the text string uploaded by the buyer,Vertical Multistage Centrifugal Pump,Department of Heavy Industry

GEM/2026/B/7894699,Lead Ingot,Lead Ingot,"Refined Secondary Lead (V2) as per IS 3717, Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549, Lead nitrate, Copper (in the form of refinery shapes) Conforming to IS 191, Lead(II) Acetate, Radiation protective Lead aprons with accessories, Lead (II) Oxide (LithARGE) LR, Stationary Lead-Acid Cells and Batteries with Tubular Positive Plates Conforming To IS 1651, Lead Acid Tubular Tbs Battery(Oil India Limited)-IS:1651, Lead(II) Chloride Anhydrous",Refined Secondary Lead (V2) as per IS 3717 Zinc Ingot as per IS 209,Department of Heavy Industry

GEM/2026/B/7536642,TOOL STEEL ROUND 70MM DIA IN 3 TO 6 MTRS. LONG TO SPECN. X155CRVM012 (DIN 0017350) OR ISO-160CRMOV12,"TOOL STEEL ROUND 70MM DIA IN 3 TO 6 MTRS. LONG TO SPECN. X155CRVM012 (DIN 0017350) OR ISO-160CRMOV12 OR XT16CR12-IS 3748-1990 READDD 2012 OR AISI-D2, IN ROLLED ANNEALED & IN ULTRASONIC TESTS PASS CONDITIONS. AS PER IS:8791:1978 REAFFD 08 CLASS'A' MATL COL",Category not available on GeM for the text string uploaded by the buyer,Steel Rod 30.1mm Diameter (OFB (Defence)),Department of Defence Production

GEM/2026/B/7818656,"CACW COOLER TO DRG. 34023540216, IT. 01, REV. 00","CACW COOLER TO DRG. 34023540216, IT. 01, REV.00",Category not available on GeM for the text string uploaded by the buyer,Industrial Air Cooled Oil Cooler,Department of Heavy Industry

GEM/2026/B/7835842,Supply of Electric Ground Power Unit (EGPU) as per technical specifications,Electrical Ground Power Unit 200A,"Electrical Power Connector, Modular Piano Type Domestic Electrical Switches ISI Marked To IS 3854, Thyristor Power Unit, Distribution Transformer, 3 Phase, upto and Including 200 KVA ISI Marked To IS 1180 (Part 1), Portable Power Supply Unit, Non Modular Piano Type Domestic Electrical Switches ISI Marked To IS 3854, Transcutaneous Electrical Nerve Stimulation (TENS) Unit (V2), Distribution Transformer, 3 Phase, 33 KV, >200 KVA upto and Including 2500 KVA ISI Marked To IS 1180 (Part 1), Electrical Plugs (V2) ISI Marked to IS 1293, Computer Monitor (V2)",Portable Power Supply Unit,Department of Defence Production

