concept,category_hint,terms
Mobile Phone / Smartphone,mobile phone smartphone cellular,mobile;mobile phone;mobiles;smartphone;smart phone;smartphones;phone;phones;cellphone;cell phone;cellular phone;handset;handsets;android phone;ios phone;iphone;feature phone;keypad phone;touchscreen phone;5g phone;4g phone;dual sim phone;basic phone;camera phone;gsm phone;rugged phone;foldable phone;mobile handset;mobile device;cell;smart mobile;mobile set;phone set;smart fone;fone;mobail;mobile fone;mobayl;smartfone;cellfone;phone device;pocket phone;sim phone;gsm handset;budget smartphone;flagship phone;mobile telephone;wireless phone;cordless phone;handheld phone;communication device;mobile unit;portable phone;smart handset
Laptop / Notebook Computer,laptop notebook computer,laptop;laptops;notebook;notebooks;notebook computer;laptop computer;portable computer;ultrabook;ultrabooks;macbook;chromebook;netbook;gaming laptop;business laptop;thin laptop;slim laptop;2 in 1 laptop;convertible laptop;touchscreen laptop;laptop pc;notebook pc;lap top;labtop;laptap;lap-top;portable pc;workstation laptop;student laptop;office laptop;personal laptop;i3 laptop;i5 laptop;i7 laptop;core i5 laptop;ryzen laptop;windows laptop;laptop machine;computer laptop;notebook machine;mini laptop;compact laptop;lightweight laptop;professional laptop;commercial laptop;corporate laptop;portable notebook;notebook device;laptop device;laptop system;mobile computer;clamshell laptop;premium laptop;entry level laptop;budget laptop;high end laptop
Desktop Computer / PC,desktop computer personal,desktop;desktops;desktop computer;desktop pc;pc;personal computer;computer;computers;cpu;tower pc;tower computer;all in one pc;all-in-one computer;aio pc;workstation;workstations;computer set;computer system;branded desktop;assembled desktop;gaming pc;office computer;office pc;desktop machine;desktop system;computr;compter;kampyuter;computer machine;desktop unit;mini pc;small form factor pc;sff pc;thin client;i5 desktop;i7 desktop;core i5 desktop;windows pc;business pc;commercial pc;corporate desktop;student desktop;home computer;cpu cabinet;computer tower;processor unit;desktop processor;complete pc;full computer set;computer with monitor;pc system;computing device;workhorse pc;entry level desktop;high end desktop;branded pc
Printer / Multifunction,printer multifunction scanner,printer;printers;printing machine;laser printer;inkjet printer;inkjet;laserjet;dot matrix printer;multifunction printer;mfp;all in one printer;all-in-one printer;photocopier;copier;xerox machine;xerox;scanner cum printer;print machine;color printer;colour printer;monochrome printer;black and white printer;wireless printer;wifi printer;network printer;thermal printer;barcode printer;label printer;photo printer;office printer;printr;priter;printar;printing device;print device;duplex printer;a4 printer;a3 printer;duplicator;ink tank printer;cartridge printer;toner printer;3d printer;receipt printer;passbook printer;id card printer;portable printer;compact printer;high speed printer;heavy duty printer;document printer;multifunction device;copy machine;printing solution
Spectacles / Eyewear,spectacles eyewear goggles,chashma;chasma;chashmaa;spectacle;spectacles;glasses;eye glasses;eyeglasses;eyewear;eye wear;goggles;goggle;sunglasses;sun glasses;reading glasses;optical glasses;prescription glasses;power glasses;safety glasses;protective glasses;safety goggles;protective goggles;lab goggles;swimming goggles;shades;specs;nazar ka chashma;aankh ka chashma;chashme;chashmey;ainak;ainaka;eye protection;vision glasses;bifocal glasses;progressive glasses;anti glare glasses;computer glasses;spectacle frame;optical frame;eyeglass frame;frame and lens;corrective eyewear;vision correction glasses;welding goggles;industrial goggles;dust goggles;riding goggles;safety spectacles;clear glasses;tinted glasses;photochromic glasses;spec;eyesight glasses;optical eyewear;protective eyewear
Chair / Seating,chair seating furniture,chair;chairs;kursi;kursiyan;kurси;seat;seating;office chair;revolving chair;executive chair;visitor chair;conference chair;ergonomic chair;study chair;computer chair;gaming chair;folding chair;plastic chair;steel chair;wooden chair;mesh chair;high back chair;mid back chair;low back chair;arm chair;armchair;recliner;recliner chair;waiting chair;bench chair;stool;bar stool;swivel chair;task chair;boss chair;staff chair;student chair;cushion chair;leather chair;chair set;seating chair;office seating;revolving seat;sofa chair;director chair;chairman chair;pushback chair;auditorium chair;canteen chair;class room chair;molded chair;moulded chair;banquet chair;reception chair;chaire;chiar
Table / Desk,table desk furniture,table;tables;mez;mej;table desk;desk;desks;office table;office desk;computer table;study table;writing table;workstation table;conference table;meeting table;dining table;center table;centre table;side table;corner table;reception table;executive table;officer table;staff table;folding table;plastic table;steel table;wooden table;modular table;workstation desk;computer desk;writing desk;office workstation;laptop table;portable table;adjustable table;height adjustable table;standing desk;student table;class room table;canteen table;meej;tabel;tebal;work table;utility table;display table;counter table;cabin table;boardroom table;training table;lab table;workbench;work bench;instrument table
Air Conditioner (AC),air conditioner conditioning,ac;a.c.;air conditioner;air conditioners;air conditioning;airconditioner;air-conditioner;split ac;window ac;cassette ac;tower ac;portable ac;central ac;vrf ac;vrv ac;ductable ac;inverter ac;1 ton ac;1.5 ton ac;2 ton ac;split air conditioner;window air conditioner;wall mounted ac;floor standing ac;cooling machine;cooling unit;ac unit;ac machine;hvac;ac system;air cooler ac;climate control;room ac;office ac;ac 1.5 ton;star rated ac;5 star ac;3 star ac;energy efficient ac;cooling ac;air condition;airconditioning;ac indoor unit;ac outdoor unit;split unit;hi wall ac;commercial ac;cassette air conditioner;precision ac;server room ac;ac cooling;conditioner;refrigeration ac;chilled ac;ac appliance
Refrigerator / Fridge,refrigerator freezer cooling,fridge;refrigerator;refrigerators;frij;freeze;friz;refrigrator;refridgerator;double door fridge;single door fridge;triple door fridge;side by side fridge;mini fridge;bar fridge;deep freezer;chest freezer;upright freezer;visi cooler;visicooler;water cooler cum refrigerator;cold storage;commercial refrigerator;domestic refrigerator;frost free fridge;direct cool fridge;inverter refrigerator;convertible fridge;refrigerator freezer;fridge freezer;cooling appliance;cold box;medical refrigerator;vaccine refrigerator;laboratory refrigerator;blood bank refrigerator;pharmacy refrigerator;ice lined refrigerator;ilr;freezer box;cooler fridge;5 star refrigerator;3 star refrigerator;300 litre fridge;double-door refrigerator;refrigeration unit;chiller;cooling cabinet;food refrigerator;kitchen fridge;office fridge;godrej fridge;fridge appliance;cold cabinet;refrigerating machine;freezing unit
Fan / Ventilation,fan ventilation cooling,fan;fans;pankha;ceiling fan;table fan;pedestal fan;wall fan;exhaust fan;stand fan;tower fan;bldc fan;cooler fan;industrial fan;cabin fan;mini fan;usb fan;rechargeable fan;high speed fan;energy saving fan;decorative fan;electric fan;cooling fan;air circulator;ventilation fan;wall mounted fan;bracket fan;farrata fan;pankhe;panka;fann;faan;blower fan;portable fan;remote fan;5 star fan;bldc ceiling fan;sweep fan;1200 mm fan;600 mm fan;office fan;class room fan;school fan;ventilator fan;chimney exhaust fan;kitchen exhaust fan;air blower;circulation fan;ac fan;dc fan;silent fan;designer fan;hvls fan;heavy duty fan;wall bracket fan
LED Bulb / Lighting,led light lamp luminaire,bulb;bulbs;led bulb;led bulbs;light;lights;batti;batati;lamp;lamps;led light;led lights;tube light;tubelight;led tube;led tubelight;cfl;cfl bulb;led panel;panel light;flood light;floodlight;street light;streetlight;led street light;down light;downlight;spot light;spotlight;ceiling light;led lamp;night lamp;study lamp;table lamp;emergency light;led flood light;high mast light;solar light;solar street light;batti led;led batti;bulp;buld;light bulb;luminaire;led luminaire;led fitting;light fitting;led fixture;batten light;led batten;cob light;gate light;focus light;led downlighter;concealed light;rope light;decorative light;9 watt led;led 9w;energy saving bulb;smart bulb;indoor light;outdoor light
UPS / Inverter / Battery,ups inverter battery power backup,ups;u.p.s.;inverter;inverters;battery;batteries;battry;batery;power backup;backup power;online ups;offline ups;line interactive ups;1 kva ups;2 kva ups;5 kva ups;10 kva ups;home inverter;solar inverter;inverter battery;tubular battery;smf battery;vrla battery;sealed battery;lead acid battery;lithium battery;li-ion battery;ups battery;power inverter;sine wave inverter;pure sine wave inverter;invertor;inverter ups;battery backup;backup battery;battery bank;power storage;energy storage;solar battery;gel battery;deep cycle battery;battery charger inverter;ups system;uninterruptible power supply;power supply unit;standby power;emergency power;invrter;battery cell;storage battery;12v battery;150 ah battery;online ups 1 kva;rack mount ups;server ups;battary
CCTV / Surveillance Camera,cctv surveillance camera security,cctv;cc tv;cctv camera;surveillance camera;security camera;camera cctv;ip camera;dome camera;bullet camera;ptz camera;wireless camera;wifi camera;night vision camera;hd camera;4k camera;spy camera;hidden camera;outdoor camera;indoor camera;dvr;nvr;cctv dvr;cctv nvr;video surveillance;monitoring camera;cctv system;cctv setup;security cctv;surveillance system;cctv installation;analog camera;hikvision camera;cp plus camera;cctv kit;camera security;seesee tv;cc camera;cctv camra;survelance camera;surveilance camera;recording camera;office cctv;shop cctv;home cctv;boundary camera;gate camera;vari focal camera;fixed camera;poe camera;thermal camera;cctv recorder;network video recorder;digital video recorder;cameras;security surveillance
Projector / Display,projector display screen,projector;projectors;lcd projector;dlp projector;led projector;laser projector;digital projector;portable projector;mini projector;short throw projector;ultra short throw projector;classroom projector;conference projector;office projector;home theatre projector;projection machine;projector screen;projection screen;screen projector;overhead projector;ohp;smart projector;4k projector;hd projector;full hd projector;3000 lumens projector;high lumens projector;projecter;projektor;prijector;beam projector;video projector;presentation projector;interactive projector;ceiling projector;multimedia projector;training projector;auditorium projector;projector with screen;wall projector;smart board projector;interactive panel;display board;digital display;led display;video wall;presentation screen;motorized screen;tripod screen;wall mount screen;projection display;beamer
Water Purifier / RO,water purifier ro filter,water purifier;ro;r.o.;ro system;ro water purifier;water filter;purifier;purifiers;uv purifier;uf purifier;ro uv purifier;ro uv uf purifier;water purification system;drinking water purifier;aquaguard;kent purifier;water cleaner;water treatment plant;wtp;water softener;commercial ro;domestic ro;industrial ro;ro plant;water purify machine;paani purifier;pani filter;water shodhak;jal shodhan;ro machine;purifier ro;reverse osmosis system;mineral water purifier;alkaline purifier;gravity water filter;under sink ro;wall mounted ro;water dispenser purifier;purifier machine;water filtration;filter machine;watr purifier;watter purifier;ro filter;membrane filter;sediment filter;drinking water system;public water purifier;school water purifier;office water purifier;hand pump purifier;ro cartridge system;tds purifier
Stationery (Pen / Paper),stationery paper writing office,stationery;stationary;pen;pens;kalam;kalm;ballpoint pen;ball pen;gel pen;marker;markers;sketch pen;pencil;pencils;paper;papers;a4 paper;a4 sheet;copier paper;printing paper;notebook;notebooks;register;registers;file;files;folder;folders;envelope;envelopes;stapler;staplers;stapler pin;punching machine;paper clip;clips;rubber band;eraser;sharpener;highlighter;whiteboard marker;permanent marker;office stationery;school stationery;writing pad;note pad;notepad;sticky notes;post it;glue;gum;scissor;scissors;tape;cello tape;calculator;office supplies;writing material;paper sheet;photocopy paper;bond paper;letter head;kagaz;kaagaz;copy
